nombre,descripcion,ingredientes,categoria,valor_nutricional,precio,calificacion
Ceviche de Camarones,Delicioso Ceviche de Camarones preparado a la perfección.,"Manzanas, Tomate, Pasta, Queso, Salsa de Tomate",Ensalada,"Calorías: 529, Grasas: 16.0g, Proteínas: 9.9g, Carbohidratos: 52.0g",$10.18,3.7
Ceviche de Camarones,Delicioso Ceviche de Camarones preparado a la perfección.,"Lechuga, Helado",Plato Principal,"Calorías: 443, Grasas: 4.4g, Proteínas: 13.2g, Carbohidratos: 31.3g",$12.15,4.8
Ramen de Pollo,Delicioso Ramen de Pollo preparado a la perfección.,"Albahaca, Pollo, Zanahoria",Plato Principal,"Calorías: 535, Grasas: 3.2g, Proteínas: 22.0g, Carbohidratos: 21.3g",$10.54,4.9
Ensalada César,Delicioso Ensalada César preparado a la perfección.,"Helado, Albahaca, Tomate, Pasta, Lechuga",Plato Principal,"Calorías: 315, Grasas: 16.7g, Proteínas: 6.9g, Carbohidratos: 69.6g",$18.17,3.0
Ensalada César,Delicioso Ensalada César preparado a la perfección.,"Salsa de Tomate, Albahaca, Pollo, Helado, Tomate",Postre,"Calorías: 488, Grasas: 13.5g, Proteínas: 20.4g, Carbohidratos: 34.7g",$19.51,3.1
Paella Valenciana,Delicioso Paella Valenciana preparado a la perfección.,"Queso, Lechuga, Salsa de Tomate",Ensalada,"Calorías: 553, Grasas: 14.4g, Proteínas: 13.1g, Carbohidratos: 77.5g",$15.90,4.6
Ceviche de Camarones,Delicioso Ceviche de Camarones preparado a la perfección.,"Pollo, Salsa de Tomate, Helado, Queso, Tomate",Pizza,"Calorías: 525, Grasas: 4.1g, Proteínas: 10.4g, Carbohidratos: 65.4g",$13.01,4.1
Hamburguesa Clásica,Delicioso Hamburguesa Clásica preparado a la perfección.,"Helado, Zanahoria, Lechuga, Albahaca, Pasta",Entrada,"Calorías: 527, Grasas: 4.3g, Proteínas: 7.6g, Carbohidratos: 52.4g",$9.64,3.7
Tacos de Carne Asada,Delicioso Tacos de Carne Asada preparado a la perfección.,"Pollo, Zanahoria, Pasta, Salsa de Tomate",Pizza,"Calorías: 269, Grasas: 2.7g, Proteínas: 13.3g, Carbohidratos: 56.4g",$13.93,3.8
Sushi Mixto,Delicioso Sushi Mixto preparado a la perfección.,"Zanahoria, Pasta, Albahaca, Lechuga",Tacos,"Calorías: 359, Grasas: 7.0g, Proteínas: 8.4g, Carbohidratos: 25.5g",$18.76,4.1
